REGION,PROVINCE,CITY/MUNICIPALITY,BARANGAY
REGION 8,SOUTHERN LEYTE,ANAHAWAN,Amagusan
REGION 8,SOUTHERN LEYTE,ANAHAWAN,Amagusan
REGION 8,SOUTHERN LEYTE,ANAHAWAN,Amagusan
REGION 8,SOUTHERN LEYTE,ANAHAWAN,Amagusan
REGION 8,SOUTHERN LEYTE,ANAHAWAN,Amagusan
REGION 8,SOUTHERN LEYTE,ANAHAWAN,Amagusan
REGION 8,SOUTHERN LEYTE,ANAHAWAN,Amagusan
REGION 8,SOUTHERN LEYTE,ANAHAWAN,Amagusan
REGION 8,SOUTHERN LEYTE,ANAHAWAN,Amagusan
REGION 8,SOUTHERN LEYTE,ANAHAWAN,Amagusan
REGION 8,SOUTHERN LEYTE,ANAHAWAN,Amagusan
REGION 8,SOUTHERN LEYTE,ANAHAWAN,Amagusan
REGION 8,SOUTHERN LEYTE,ANAHAWAN,Amagusan
REGION 8,SOUTHERN LEYTE,ANAHAWAN,Amagusan
REGION 8,SOUTHERN LEYTE,ANAHAWAN,Amagusan
REGION 8,SOUTHERN LEYTE,ANAHAWAN,Amagusan
REGION 8,SOUTHERN LEYTE,ANAHAWAN,Amagusan
REGION 8,SOUTHERN LEYTE,ANAHAWAN,Amagusan
REGION 8,SOUTHERN LEYTE,ANAHAWAN,Amagusan
REGION 8,SOUTHERN LEYTE,ANAHAWAN,Calintaan
REGION 8,SOUTHERN LEYTE,ANAHAWAN,Calintaan
REGION 8,SOUTHERN LEYTE,ANAHAWAN,Calintaan
REGION 8,SOUTHERN LEYTE,ANAHAWAN,Calintaan
REGION 8,SOUTHERN LEYTE,ANAHAWAN,Calintaan
REGION 8,SOUTHERN LEYTE,ANAHAWAN,Calintaan
REGION 8,SOUTHERN LEYTE,ANAHAWAN,Calintaan
REGION 8,SOUTHERN LEYTE,ANAHAWAN,Calintaan
REGION 8,SOUTHERN LEYTE,ANAHAWAN,Calintaan
REGION 8,SOUTHERN LEYTE,ANAHAWAN,Calintaan
REGION 8,SOUTHERN LEYTE,ANAHAWAN,Calintaan
REGION 8,SOUTHERN LEYTE,ANAHAWAN,Calintaan
REGION 8,SOUTHERN LEYTE,ANAHAWAN,Calintaan
REGION 8,SOUTHERN LEYTE,ANAHAWAN,Calintaan
REGION 8,SOUTHERN LEYTE,ANAHAWAN,Calintaan
REGION 8,SOUTHERN LEYTE,ANAHAWAN,Calintaan
REGION 8,SOUTHERN LEYTE,ANAHAWAN,Calintaan
REGION 8,SOUTHERN LEYTE,ANAHAWAN,Calintaan
REGION 8,SOUTHERN LEYTE,ANAHAWAN,Calintaan
REGION 8,SOUTHERN LEYTE,ANAHAWAN,Calintaan
REGION 8,SOUTHERN LEYTE,ANAHAWAN,Canlabian
