"Future
Section ID","Future
Bridge ID","Future
Bridge Name",Selection
0,0,0,1
FS20217BR,FB18017BR,Bridge 1,0
S00001BR,FB00058BR,New Biliran Br.,0
S00012BR,FB00001BR,Caibiran Br,0
S00012BR,FB00012BR,Macalpe Br.,0
FS26601BR,FB65001BR,Magbangon Br,0
S00002BR,FB65006BR,Macopa Parallel Br.,0
S00002BR,FB65004BR,Tucdao Parallel Br.,0
S00002BR,FB65003BR,Doroteo Parallel Br.,0
S00002BR,FB65002BR,Bagongbong Parallel Br.,0
S00002BR,FB65005BR,Kaulangohan Parallel Br.,0
FS00162SM,FB57033SM,Br. 1_2023,0
FS00162SM,FB00162SM,Gandara Br. II,0
FS20222SM,FB40064SM,Bridge 1,0
FS20222SM,FB57019SM,Br. 1_2023,0
FS20222SM,FB57017SM,Br. 1_2023,0
FS20222SM,FB57018SM,Br. 1_2023,0
FS20222SM,FB20222SM,Matobato Br.,0
FS00006SM,FB00005SM,Barruz Br.,0
FS00006SM,FB00002SM,Hampton Br.,0
FS00006SM,FB00006SM,Maduroto Br.,0
FS00006SM,FB00001SM,Natimonan Br.,0
FS00006SM,FB00003SM,Sto. Niño Br.,0
FS50845SM,FB50845SM,Jibatang Br. II,0
FS00006SM,FB00004SM,Matuguinao Br.,0
FS50845SM,FB50842SM,Oquendo-Manguinoo Br.,0
FS00032SM,FB00018SM,Gandara Parallel Br. 2,0
S00122SM,FB00122SM,Buri Br.,0
FS15056SM,FB15056SM,Bridge 1,0
FS15056SM,FB15702SM,Bridge 2,0
FS15056SM,FB15001SM,Bridge 1,0
FS15056SM,FB18056SM,Bridge 3,0
FS15056SM,FB15701SM,Bridge 1,0
FS33304SM,FB57012SM,Br. 1_2023,0
FS33304SM,FB57013SM,Br. 1_2023,0
FS33304SM,FB38102SM,Loom Br. 2,0
FS33304SM,FB38101SM,Borongan Br. 2,0
FS33304SM,FB38103SM,Can Obing Br. 2,0
S00174SM,FB00010SM,Bigo Br,0
S00188SM,FB00188SM,Pagnamitan Br.,0
FS03208VS,FB40063VS,Bridge 1,0
FS50815SM,FB00008SM,San Miguel Br.,0
FS00143SM,FB00007SM,San Antonio Br.,0
S00026SM,FB65001SM,Naperes Br.,0
FS97847SM,FB97850SM,Bridge 1,0
FS15057SM,FB15057SM,Bridge 2019_A,0
FS97847SM,FB97849SM,Jangtud 2,0
FS97847SM,FB97848SM,Jangtud 1,0
FS00145SM,FB00008SM,Mapanas Bypass Br.,0
FS97847SM,FB97847SM,Simora Bridge,0
S00037SM,FB00009SM,Nipa Viaduct,0
FS15166SM,FB15165SM,Bridge 1,0
FS15166SM,FB15166SM,Bridge 1,0
FS15166SM,FB15167SM,Bridge 2,0
FS15166SM,FB15168SM,Bridge 3,0
FS17056MN,FB17056MN,Barra Br.2,0
FS15270MN,FB00008MN,Bridge 1,0
S01057MN,FB00025MN,Bridge 1,0
S01061MN,FB00332MN,Bridge 1,0
S01061MN,FB00403MN,Bridge 2,0
FS00034MN,FB00034MN,Bridge 2021,0
FS15171MN,FB15171MN,Bridge 1,0
S01057MN,FB00005MN,Disakan Br. 2,0
FS15171MN,FB42301MN,Bewa Br.,0
FS15171MN,FB42302MN,Titik Br.,0
FS00035MN,FB00010MN,Bridge 1,0
FS00035MN,FB00042MN,Bridge 2,0
FS15171MN,FB42304MN,Talinga Br.,0
FS15171MN,FB42303MN,Canangan Br.,0
FS15061MN,FB00655MN,Bridge 1,0
