"Boundary
Code",Road Code,Road Name,Selection
 - , - , - ,0
BC115,R00001AB,Quezon-Alabat-Perez Rd,1
BC061,R00001BN,Basco-Contracosta Rd,1
BC189,R00001BR,Leyte-Biliran Rd,1
BC151,R00001BU,Sn Pascual-Claveria Rd,1
BC121,R00001CA,Libis Lighthouse-Buli Lighthouse Rd,1
BC102,R00001CD,S Dock Topside Rd,1
BC209,R00001CG,Camiguin Circumferential Rd,1
BC123,R00001CR,Coron-Busuanga Rd,1
BC244,R00001DG,Dinagat-Loreto Rd,1
BC121,R00001GL,Bulacan-Talaotao Rd,1
BC159,R00001GR,Guimaras Circumferential Rd,1
BC061,R00001IY,Mayan-Pagananaman Port Rd,1
BC121,R00001LB,Tagbac-Lubang-Looc Rd,1
BC182,R00001LP,Mandaue-Mactan Rd,1
BC013,R00001LZ,Daang Maharlika (LZ),1
BC120,R00001MQ,Marinduque Circumferential Rd,1
BC122,R00001MR,Calapan South Rd,1
BC127,R00001MR,Calapan South Rd,1
BC149,R00001MT,Masbate-Cataingan-Placer Rd,1
BC150,R00001MT,Masbate-Cataingan-Placer Rd,1
BC167,R00001NR,Jct DS Benedicto-Spur 16-Calatrava Rd,1
BC314,R00001PN,Aklan East Rd,1
BC154,R00001PN,Aklan East Rd,1
BC123,R00001PW,Puerto Princesa North Rd,1
BC125,R00001PW,Puerto Princesa North Rd,1
BC126,R00001RB,Romblon-Cogon-Sablayan Rd,1
BC246,R00001SG,Dapa-Gen Luna Rd,1
BC188,R00001SJ,Siquijor Circumferential Rd,1
BC249,R00001SL,Jct. Timbangan-Romandier Rd,1
BC199,R00001SM,Wright-Taft-Borongan Rd,1
BC190,R00001SM,Wright-Taft-Borongan Rd,1
BC061,R00001ST,Sn Vicente-Savidug-Chavayan-Sumnanga-Nakanmuan Rd,1
BC126,R00001SY,Sibuyan Circumferential Rd,1
BC151,R00001TC,Sn Fernando South Rd,1
BC126,R00001TL,Tablas Circumferential Rd,1
BC257,R00001TW,Banaran-Lookan Rd,1
BC061,R00002BN,Radio Station Rd,1
BC189,R00002BR,Biliran Circumferential Rd,1
BC102,R00002CD,S Dock Topside Div Rd,1
BC123,R00002CR,F.B. Reyes (Busuanga-Coron) Rd,1
BC244,R00002DG,Jct Magsaysay-Cagdianao Rd,1
BC159,R00002GR,Central Rd (Sn Miguel-Constancia-Cabano-Igcawayan),1
BC061,R00002IY,Mayan-Mauyen Port Rd,1
BC121,R00002LB,Jct TLLR-Kusang Loob Rd,1
BC182,R00002LP,Pajo-Basak Marigondon Rd,1
BC191,R00002LT,Palo-Carigara-Ormoc Rd,1
BC192,R00002LT,Palo-Carigara-Ormoc Rd,1
BC194,R00002LT,Palo-Carigara-Ormoc Rd,1
BC144,R00002LZ,Fraternidad-Biak-na-Bato-E Angeles-Bagumbayan Rd,1
BC150,R00002MT,Buenavista-Kawayan Rd,1
BC166,R00002NR,Bacolod-Murcia-DS Benedicto-Sn Carlos City Rd,1
BC167,R00002NR,Bacolod-Murcia-DS Benedicto-Sn Carlos City Rd,1
