Category Id,Sub-Program Code,Project Category,Thrust,Project Origin,Infra Type,"Infra Type
Code",parentid,pap_key_fk,valid_from,valid_to,Selection
 -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1
16,1,OO1: Ensure Safe and Reliable National Road System,Asset Preservation - Construction / Upgrading / Rehabilitation of Drainage along National Roads - Primary Roads,Drainage Needs,Roads,R,240,1003,2018,0,1
16,1,OO1: Ensure Safe and Reliable National Road System,Asset Preservation - Construction / Upgrading / Rehabilitation of Drainage along National Roads - Secondary Roads,Drainage Needs,Roads,R,239,1004,2018,0,1
16,1,OO1: Ensure Safe and Reliable National Road System,Asset Preservation - Construction / Upgrading / Rehabilitation of Drainage along National Roads - Tertiary Roads,Drainage Needs,Roads,R,238,1005,2018,0,1
16,2,OO1: Ensure Safe and Reliable National Road System,Asset Preservation - Preventive Maintenance - Primary Roads,HDM4,Roads,R,214,1008,2018,0,1
16,2,OO1: Ensure Safe and Reliable National Road System,Asset Preservation - Preventive Maintenance - Secondary Roads,HDM4,Roads,R,215,1009,2018,0,1
16,2,OO1: Ensure Safe and Reliable National Road System,Asset Preservation - Preventive Maintenance - Tertiary Roads,HDM4,Roads,R,216,1010,2018,0,1
16,3,OO1: Ensure Safe and Reliable National Road System,"Asset Preservation - Rehabilitation/ Reconstruction of Roads with Slips, Slope Collapse, and Landslide - Primary Roads",Road Slope Management System (RSMS),Roads,R,223,1011,2018,0,1
16,3,OO1: Ensure Safe and Reliable National Road System,"Asset Preservation - Rehabilitation/ Reconstruction of Roads with Slips, Slope Collapse, and Landslide - Secondary Roads",Road Slope Management System (RSMS),Roads,R,224,1012,2018,0,1
16,3,OO1: Ensure Safe and Reliable National Road System,"Asset Preservation - Rehabilitation/ Reconstruction of Roads with Slips, Slope Collapse, and Landslide - Tertiary Roads",Road Slope Management System (RSMS),Roads,R,225,1013,2018,0,1
16,4,OO1: Ensure Safe and Reliable National Road System,Asset Preservation - Rehabilitation/ Reconstruction/ Upgrading of Damaged Paved Roads - Primary Roads,HDM4,Roads,R,217,1013,2018,0,1
16,4,OO1: Ensure Safe and Reliable National Road System,Asset Preservation - Rehabilitation/ Reconstruction/ Upgrading of Damaged Paved Roads - Secondary Roads,HDM4,Roads,R,218,1013,2018,0,1
16,4,OO1: Ensure Safe and Reliable National Road System,Asset Preservation - Rehabilitation/ Reconstruction/ Upgrading of Damaged Paved Roads - Tertiary Roads,HDM4,Roads,R,219,1013,2018,0,1
16,5,OO1: Ensure Safe and Reliable National Road System,Network Development - Road Widening - Primary Roads,Volume Capacity Ratio and Safety Analysis,Roads,R,232,1098,2018,0,1
16,5,OO1: Ensure Safe and Reliable National Road System,Network Development - Road Widening - Secondary Roads,Volume Capacity Ratio and Safety Analysis,Roads,R,236,1099,2018,0,1
16,5,OO1: Ensure Safe and Reliable National Road System,Network Development - Road Widening - Tertiary Roads,Volume Capacity Ratio and Safety Analysis,Roads,R,237,1100,2018,0,1
16,6,OO1: Ensure Safe and Reliable National Road System,Network Development - Paving of Unpaved Roads - Primary Roads,HDM4,Roads,R,254,1093,2018,0,1
16,6,OO1: Ensure Safe and Reliable National Road System,Network Development - Paving of Unpaved Roads - Secondary Roads,HDM4,Roads,R,212,1094,2018,0,1
16,6,OO1: Ensure Safe and Reliable National Road System,Network Development - Paving of Unpaved Roads - Tertiary Roads,HDM4,Roads,R,213,1095,2018,0,1
16,7,OO1: Ensure Safe and Reliable National Road System,Network Development - Off-Carriageway Improvement - Primary Roads,Volume Capacity Ratio and Safety Analysis,Roads,R,198,1090,2018,0,1
16,7,OO1: Ensure Safe and Reliable National Road System,Network Development - Off-Carriageway Improvement - Secondary Roads,Volume Capacity Ratio and Safety Analysis,Roads,R,185,1091,2018,0,1
16,7,OO1: Ensure Safe and Reliable National Road System,Network Development - Off-Carriageway Improvement - Tertiary Roads,Volume Capacity Ratio and Safety Analysis,Roads,R,199,1092,2018,0,1
16,8,OO1: Ensure Safe and Reliable National Road System,Network Development - Construction of By-Pass and Diversion Roads,Master Plans,Roads,R,241,1080,2018,0,1
16,8,OO1: Ensure Safe and Reliable National Road System,Network Development - Construction of By-Pass and Diversion Roads,Master Plans,Bridges,B,253,1080,2018,0,1
