SD code,Description,SD code,Selection
0,0,0,0
SD-01,Annexes 1-5,SD-01,0
SD-02,Approved Contract,SD-02,0
SD-04,Certification for proposed “Raising of Grade”,SD-04,0
SD-05,Certification for RoCond Updating,SD-05,0
SD-06,Certification from NHCP,SD-06,0
SD-07,Certification of No Widening,SD-07,0
SD-08,Certification to Justify Request,SD-08,1
SD-09,Detailed Engineering Design (DED)/Preliminary Plans,SD-09,0
SD-10,Geotagged Photos,SD-10,1
SD-11,Hydraulic and Hydrologic Analysis,SD-11,0
SD-12,Modification Form/Variation Order/Change Order/As-Built Plan,SD-12,1
SD-14,Physical and Financial Accomplishment,SD-14,0
SD-15,Program of Work (POW),SD-15,1
SD-17,Project Profile,SD-17,0
SD-18,ROW Certification,SD-18,1
SD-19,Straight Line Diagram (SLD),SD-19,1
SD-20,Technical Study/Evaluation/Feasibility Study/Flood Control Master Plan,SD-20,0
SD-22,"Outside of the High Hazard Areas, No Build Zones, and Protected Areas Certification",SD-22,0
SD-23,Detailed Unit Price Analysis,SD-23,1
SD-24,RD's Endorsement (Sometimes DEOs submit requests directly to CO),SD-24,0
SD-25,Project Impact Analysis (PIA),SD-25,0
SD-26,DPWH Flood Control Checklist ,SD-26,0
SD-27,"Certificate of Compliance to D.O. 23, series of 2015",SD-27,0
SD-28,BP 202 (If SD-17 is different),SD-28,0
SD-29,Location Map,SD-29,0
SD-30,Other SD,SD-30,0
SD-31,Road Safety Reports,SD-31,0
SD-32,MOA with LGU,SD-32,0
SD-33,Canvass of Materials,SD-33,0
SD-34,Consolidated Transmittal Letter/Cover Memorandum,SD-34,0
SD-35,Certification on the Importance to National Security and Development,SD-35,0
SD-36,Technical Necessity Certification ,SD-36,0
SD-37,Consolidated Right of Way Availability (ROWA),SD-37,0
SD-38,Individual Project Briefer,SD-38,0
SD-39,Certification of No Double Funding,SD-39,0
SD-40, MYCPPM (Multi-Year Convergence Program Project Matrix),SD-40,0
SD-41,Geotechnical Study,SD-41,0
