Infra Type,Major Work Category,Type Of Work,Unit of Measure,progsub_CW1,"Min
Amount",Max Amount,Selection
 -   , -   , -   , -   , -   , -   , -   , 1.00 
Accessibility Facility,Construction,Construction of Accessibility Facility,Number of Units,,1,10, 1.00 
Accessibility Facility,Rehabilitation/Major Repair,Rehabilitation/Major Repair of Accessibility Facility,Number of Units,,1,10, 1.00 
Bridges,Construction,Construction of Bailey Bridge,Square meters,11,0,300, 1.00 
Bridges,Construction,Construction of Concrete Bridge,Square meters,11,0,35000, 1.00 
Bridges,Construction,Construction of Bridge Approach,Lane Km,11,,, 1.00 
Bridges,Construction,Construction of Flyover,Square meters,,0,50000, 1.00 
Bridges,Construction,Construction of Interchange,Square meters,,0,50000, 1.00 
Bridges,Construction,Construction of Steel Bridge,Square meters,11,0,3000, 1.00 
Bridges,Construction,Construction of Viaduct,Square meters,,1,5000, 1.00 
Bridges,Rehabilitation/Major Repair,Rehabilitation / Major Repair of Bridge,Number of Bridges,12,1,1, 1.00 
Bridges,Replacement,Replacement of Bridge,Square meters,13,0,10000, 1.00 
Bridges,Replacement,Replacement of Bridge,Square meters,14,0,10000, 1.00 
Bridges,Retrofitting/Strengthening,Retrofitting / Strengthening of Bridge,Number of Bridges,15,1,1, 1.00 
Bridges,Widening,Widening of Bridge,Square meters,16,0,6600, 1.00 
Bridges,Widening,Construction of Parallel Bridge,Square meters,16,0,35000, 1.00 
Flood Control Structures,Construction,Construction of Cutoff Channel,Lineal meters,,0,10000, 1.00 
Flood Control Structures,Construction,Construction of Dike,Lineal meters,,0,10000, 1.00 
Flood Control Structures,Construction,Construction of Drainage Structure,Lineal meters,,0,15000, 1.00 
Flood Control Structures,Construction,Construction of Flood Gate / Sluice Gate,Lineal meters,,0,10000, 1.00 
Flood Control Structures,Construction,Construction of Flood Mitigation Facility,Number of Facilities,,1,10, 1.00 
Flood Control Structures,Construction,Construction of Flood Mitigation Structure,Lineal meters,,0,30000, 1.00 
Flood Control Structures,Construction,Construction of Groundsill,Lineal meters,,0,20000, 1.00 
Flood Control Structures,Construction,Construction of Retarding Basin,Square meters,,100,100000, 1.00 
Flood Control Structures,Construction,Construction of Revetment,Lineal meters,,0,25000, 1.00 
Flood Control Structures,Construction,Construction of Sabo Dam,Lineal meters,,0,10000, 1.00 
Flood Control Structures,Construction,Construction of Slope Protection Structure,Square meters,,0,120000, 1.00 
Flood Control Structures,Construction,Construction of Spur Dike,Lineal meters,,0,10000, 1.00 
Flood Control Structures,Construction,Repair/Maintenance of Flood Control Structures,Lineal meters,,0,10000, 1.00 
Flood Control Structures,Construction,Construction of Waterway,Lineal meters,,0,10000, 1.00 
Flood Control Structures,Construction,Embankment,Cubic meters,,0,500000, 1.00 
Flood Control Structures,Rehabilitation/Major Repair,Rehabilitation / Major Repair of Drainage Structure,Lineal meters,,0,20000, 1.00 
Flood Control Structures,Rehabilitation/Major Repair,Rehabilitation / Major Repair of Flood Control Structure,Lineal meters,,1,10000, 1.00 
Flood Control Structures,Rehabilitation/Major Repair,Rehabilitation / Major Repair of Flood Mitigation Facility,Number of Facilities,,0,50, 1.00 
Flood Control Structures,Rehabilitation/Major Repair,Rehabilitation / Major Repair of Slope Protection Structure,Square meters,,0,50000, 1.00 
Flood Control Structures,Upgrading,Upgrading of Drainage Structure,Lineal meters,,0,10000, 1.00 
Hospitals,Construction,Construction of Barangay Health Station,Number of Units,,1,1, 1.00 
Hospitals,Construction,Construction of Hospital,Number of Hospitals,,1,1, 1.00 
Hospitals,Construction,Rehabilitation / Major Repair of Rural Health Unit,Number of Units,,1,1, 1.00 
Hospitals,Construction,Rehabilitation / Major Repair of Barangay Health Station,Number of Units,,1,1, 1.00 
Hospitals,Construction,Construction of Rural Health Unit,Number of Units,,1,1, 1.00 
Hospitals,Rehabilitation/Major Repair,Rehabilitation / Major Repair of Hospital,Number of Hospitals,,1,1, 1.00 
Multi Purpose Buildings,Construction,Construction of Multi Purpose Building,Number of Buildings,,1,10, 1.00 
Multi Purpose Buildings,Construction,Construction of Evacuation Center,Number of Buildings,,1,10, 1.00 
Multi Purpose Buildings,Construction,Construction of Other Building,Number of Buildings,,1,10, 1.00 
Multi Purpose Buildings,Construction,Construction of Other Facilities,Number of Facilities,,1,20, 1.00 
